,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1630173,00,0,4,0,10.2,1.5,3.3,0.462,0.5,1.0,0.5,0.5,1.3,0.4,0.3,2.3,2.5,0.8,0.0,0.8,1.3,0.5,4.0
0,203500,00,0,60,42,27.2,3.4,5.4,0.627,0.0,0.1,0.0,1.3,2.5,0.534,2.8,4.6,7.4,0.9,0.5,1.0,1.0,2.7,8.1
0,1628389,00,0,29,24,32.0,5.4,10.2,0.532,0.0,0.1,0.0,3.7,5.0,0.733,2.4,6.5,8.9,3.7,0.9,0.7,2.2,2.7,14.6
0,200746,00,0,72,72,37.1,8.1,17.8,0.455,0.2,0.7,0.327,4.3,5.2,0.824,2.5,6.0,8.5,1.7,0.7,1.4,1.6,2.7,20.8
0,1628960,00,0,8,0,18.5,1.8,5.3,0.333,1.0,3.3,0.308,0.6,1.0,0.625,0.4,1.8,2.1,0.1,0.3,0.3,0.3,2.0,5.1
0,1628386,00,0,9,9,26.9,3.7,6.2,0.589,0.0,0.0,0.0,3.3,4.0,0.833,3.6,6.8,10.3,2.2,0.6,1.1,2.1,2.2,10.7
0,1630631,00,0,1,0,14.5,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
0,203937,00,0,36,7,15.5,2.1,4.3,0.494,0.2,0.8,0.241,0.6,0.8,0.759,0.7,2.5,3.2,1.5,1.0,0.2,0.5,1.1,5.0
0,203507,00,0,65,65,36.1,9.8,18.2,0.535,0.8,3.0,0.273,5.6,9.1,0.612,2.4,9.3,11.7,4.9,1.1,1.4,3.0,3.3,25.9
0,203648,00,0,13,0,3.4,0.2,0.5,0.286,0.0,0.0,0.0,0.4,0.5,0.833,0.2,0.5,0.8,0.2,0.4,0.2,0.2,0.9,0.7
0,2546,00,0,83,77,37.2,8.1,19.4,0.414,1.2,3.8,0.324,5.7,6.9,0.826,1.8,4.9,6.7,2.5,1.2,0.3,2.6,3.6,23.1
0,1628384,00,0,22,22,30.2,3.5,7.0,0.503,1.5,3.4,0.427,1.2,1.8,0.667,1.7,3.0,4.7,1.0,0.8,0.8,1.0,2.4,9.7
0,201571,00,0,38,6,21.0,2.4,6.5,0.368,1.2,3.1,0.39,2.2,2.5,0.874,0.2,1.0,1.2,2.4,0.4,0.1,1.1,1.6,8.2
0,1629028,00,0,23,23,36.3,7.1,10.8,0.659,0.0,0.0,1.0,1.7,2.3,0.736,3.0,8.7,11.7,1.2,0.8,1.2,1.3,2.9,16.0
0,1628962,00,0,1,0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1630217,00,0,6,1,22.0,2.8,5.7,0.5,1.5,3.3,0.45,0.3,0.3,1.0,0.3,3.0,3.3,1.8,0.7,0.5,0.7,1.0,7.5
0,1630625,00,0,1,0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0,203084,00,0,64,56,31.9,4.1,9.7,0.419,1.2,3.3,0.355,1.4,1.9,0.756,1.5,3.6,5.1,1.3,0.7,0.4,1.0,2.1,10.7
