PERSON_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER
1630173,Precious Achiuwa,Raptors,Forward,207,102.06,Nigeria,1999-09-19,1,20
203500,Steven Adams,Grizzlies,Center,186,120.2,New Zealand,1993-07-20,8,12
1628389,Bam Adebayo,Heat,Center-Forward,210,115.67,USA,1997-07-18,4,14
1630583,Santi Aldama,Grizzlies,Forward-Center,186,97.52,Spain,2001-01-10,0,30
200746,LaMarcus Aldridge,Nets,Center-Forward,186,113.4,USA,1985-07-19,15,2
1629638,Nickeil Alexander-Walker,Jazz,Guard,198,92.99,Canada,1998-09-02,2,17
1628960,Grayson Allen,Bucks,Guard,195,89.81,USA,1995-10-08,3,21
1628386,Jarrett Allen,Cavaliers,Center,185,110.22,USA,1998-04-21,4,22
1630631,Jose Alvarado,Pelicans,Guard,182,81.19,USA,1998-04-12,0,Undrafted
203937,Kyle Anderson,Grizzlies,Forward-Guard,210,104.33,USA,1993-09-20,7,30
203507,Giannis Antetokounmpo,Bucks,Forward,186,109.77,Greece,1994-12-06,8,15
203648,Thanasis Antetokounmpo,Bucks,Forward,201,99.34,Greece,1992-07-18,6,51
2546,Carmelo Anthony,Lakers,Forward,204,107.96,USA,1984-05-29,18,3
1630175,Cole Anthony,Magic,Guard,192,83.91,USA,2000-05-15,1,15
1628384,OG Anunoby,Raptors,Forward,204,105.23,United Kingdom,1997-07-17,4,23
1627853,Ryan Arcidiacono,Bulls,Guard,192,88.45,USA,1994-03-26,4,Undrafted
201571,D.J. Augustin,Lakers,Guard,155,83.01,USA,1987-11-10,13,9
1630166,Deni Avdija,Wizards,Forward,210,95.25,Israel,2001-01-03,1,9
1629028,Deandre Ayton,Suns,Center,186,113.4,Bahamas,1998-07-23,3,1
1628962,Udoka Azubuike,Jazz,Center-Forward,213,122.47,Nigeria,1999-09-17,1,27
1628963,Marvin Bagley III,Pistons,Forward,186,106.59,USA,1999-03-14,3,2
1630163,LaMelo Ball,Hornets,Guard,204,81.65,USA,2001-08-22,1,3
1628366,Lonzo Ball,Bulls,Guard,201,86.18,USA,1997-10-27,4,2
1628964,Mo Bamba,Magic,Center,213,104.78,USA,1998-05-12,3,6
1630217,Desmond Bane,Grizzlies,Guard,198,97.52,USA,1998-06-25,1,30
1630625,Dalano Banton,Raptors,Forward,204,92.53,Canada,1999-11-07,0,46
203084,Harrison Barnes,Kings,Forward,207,102.06,USA,1992-05-30,9,7
1630567,Scottie Barnes,Raptors,Forward,204,102.06,USA,2001-08-01,0,4
1629628,RJ Barrett,Knicks,Forward-Guard,201,97.07,Canada,2000-06-14,2,3
203115,Will Barton,Nuggets,Guard,198,82.1,USA,1991-01-06,9,40
1629646,Charles Bassey,76ers,Center-Forward,210,104.33,Nigeria,2000-10-28,0,53
1628966,Keita Bates-Diop,Spurs,Forward,207,103.87,USA,1996-01-23,3,48
201587,Nicolas Batum,Clippers,Guard-Forward,207,104.33,France,1988-12-14,13,25
