,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY,AGE
1630173.0,Precious Achiuwa,Raptors,Forward,207.26,102.06,Nigeria,1999-09-19,1,20,134,18.4,7.2,5.1,0.8,0.4,0.5,2711280,"22 years, 7 months, 6 days"
203500.0,Steven Adams,Grizzlies,Center,186.23,120.2,New Zealand,1993-07-20,8,12,664,26.8,9.3,8.0,1.5,0.9,0.9,17073171,"28 years, 9 months, 8 days"
1628389.0,Bam Adebayo,Heat,Center,210.31,115.67,USA,1997-07-18,4,14,343,28.2,13.5,8.3,3.5,1.0,0.9,28103550,"24 years, 9 months, 9 days"
1630583.0,Santi Aldama,Grizzlies,Forward,186.23,97.52,Spain,2001-01-10,0,30,32,11.2,4.1,2.7,0.7,0.2,0.3,1994520,"21 years, 3 months, 14 days"
200746.0,LaMarcus Aldridge,Nets,Center,186.23,113.4,USA,1985-07-19,15,2,1076,33.7,19.1,8.1,1.9,0.7,1.1,2641691,"36 years, 9 months, 11 days"
1629638.0,Nickeil Alexander-Walker,Jazz,Guard,198.12,92.99,Canada,1998-09-02,2,17,158,19.4,9.3,2.6,2.2,0.7,0.3,3261480,"23 years, 7 months, 23 days"
1628960.0,Grayson Allen,Bucks,Guard,195.07,89.81,USA,1995-10-08,3,21,192,21.9,9.4,2.6,1.5,0.6,0.2,4054695,"26 years, 6 months, 19 days"
1628386.0,Jarrett Allen,Cavaliers,Center,185.93,110.22,USA,1998-04-21,4,22,341,26.6,11.6,8.7,1.4,0.5,1.4,20000000,"24 years, 0 months, 5 days"
1630631.0,Jose Alvarado,Pelicans,Guard,182.88,81.19,USA,1998-04-12,0,Undrafted,54,15.4,6.1,1.9,2.8,1.3,0.1,1500000,"24 years, 0 months, 14 days"
203937.0,Kyle Anderson,Grizzlies,Forward,210.31,104.33,USA,1993-09-20,7,30,505,21.0,6.7,4.4,2.3,1.0,0.6,9937150,"28 years, 7 months, 6 days"
203507.0,Giannis Antetokounmpo,Bucks,Forward,186.23,109.77,Greece,1994-12-06,8,15,656,32.6,21.8,9.4,4.6,1.2,1.3,39344970,"27 years, 4 months, 21 days"
203648.0,Thanasis Antetokounmpo,Bucks,Forward,201.17,99.34,Greece,1992-07-18,6,51,127,9.1,3.1,2.0,0.7,0.4,0.2,1729217,"29 years, 9 months, 10 days"
2546.0,Carmelo Anthony,Lakers,Forward,204.22,107.96,USA,1984-05-29,18,3,1260,34.5,22.5,6.2,2.7,1.0,0.5,2641691,"37 years, 11 months, 1 days"
1630175.0,Cole Anthony,Magic,Guard,192.02,83.91,USA,2000-05-15,1,15,112,29.8,14.9,5.1,5.0,0.7,0.3,3449400,"21 years, 11 months, 11 days"
1628384.0,OG Anunoby,Raptors,Forward,204.22,105.23,United Kingdom,1997-07-17,4,23,301,26.8,10.4,4.1,1.4,1.1,0.5,16071429,"24 years, 9 months, 10 days"
1627853.0,Ryan Arcidiacono,Bulls,Guard,192.02,88.45,USA,1994-03-26,4,Undrafted,217,17.2,4.6,2.0,2.1,0.5,0.0,586136,"28 years, 1 months, 2 days"
201571.0,D.J. Augustin,Lakers,Guard,155.75,83.01,USA,1987-11-10,13,9,976,23.4,9.5,1.8,3.9,0.6,0.0,7622467,"34 years, 5 months, 18 days"
1630166.0,Deni Avdija,Wizards,Forward,210.31,95.25,Israel,2001-01-03,1,9,136,23.8,7.6,5.1,1.7,0.7,0.4,4692840,"21 years, 3 months, 21 days"
