,Player,2021-22
1,Stephen Curry,45780966
2,John Wall,44310840
3,Russell Westbrook,44211146
4,James Harden,43848000
5,LeBron James,41180544
6,Kevin Durant,40918900
7,Giannis Antetokounmpo,39344970
8,Paul George,39344970
9,Damian Lillard,39344900
10,Kawhi Leonard,39344900
11,Klay Thompson,37980720
12,Jimmy Butler,36016200
13,Tobias Harris,36000000
14,Khris Middleton,35500000
15,Anthony Davis,35361360
16,Rudy Gobert,35344828
17,Kyrie Irving,34916200
18,Bradley Beal,34502130
19,Kristaps Porzi??is,31650600
20,Devin Booker,31610000
21,Karl-Anthony Towns,31610000
22,Jamal Murray,31590000
23,Ben Simmons,31590000
24,Joel Embiid,31579390
25,Andrew Wiggins,31579390
26,Pascal Siakam,31320000
27,Kevin Love,31300000
28,CJ McCollum,30864198
29,Chris Paul,30800000
30,Nikola Joki?,30510423
31,Jrue Holiday,30133333
32,D'Angelo Russell,30013500
33,Gordon Hayward,29900000
34,Blake Griffin,32405817
35,Brandon Ingram,29467800
36,De'Aaron Fox,28103550
37,Bam Adebayo,28103550
38,Donovan Mitchell,28103550
39,Jayson Tatum,28103550
40,Al Horford,27000000
41,Kyle Lowry,26984128
42,Kemba Walker,34967442
43,DeMar DeRozan,26000000
44,Jaylen Brown,24830357
45,Draymond Green,24026712
46,Nikola Vu?evi?,24000000
47,John Collins,23000000
48,Buddy Hield,22477273
49,Malcolm Brogdon,21700000
50,Tim Hardaway Jr.,21306816
51,Mike Conley,21000000
52,Gary Harris,20482143
53,Danilo Gallinari,20475000
54,Harrison Barnes,20284091
55,Jarrett Allen,20000000
56,Jerami Grant,20000000
57,Julius Randle,19800000
58,Fred VanVleet,19675926
59,Zach LaVine,19500000
60,Goran Dragi?,20168742
61,Bojan Bogdanovi?,18700000
62,Lonzo Ball,18604651
63,Domantas Sabonis,18562500
64,Eric Gordon,18218818
65,Evan Fournier,18139535
66,Eric Bledsoe,18125000
67,Myles Turner,18000000
68,Bogdan Bogdanovi?,18000000
69,Terry Rozier,17905263
70,Ricky Rubio,17809524
71,Caris LeVert,17500000
72,Jonathan Isaac,17400000
73,Joe Harris,17357143
74,Spencer Dinwiddie,17142857
75,Clint Capela,17103448
76,Steven Adams,17073171
77,Markelle Fultz,16500000
78,Aaron Gordon,16409091
79,OG Anunoby,16071429
80,D?vis Bert?ns,16000000
81,Gary Trent Jr.,16000000
